ID,LONISID,RID
40898,13521,956
40900,13525,956
40902,13527,878
40904,13530,361
40906,13547,912
40908,13549,912
49374,21313,874
40914,13558,410
40916,13561,947
40918,13563,920
40920,13569,1276
40922,13572,920
40924,13573,981
40926,13579,485
40928,13581,880
40930,13583,961
40932,13586,1046
40934,13587,702
40936,13590,35
40938,13592,1331
40940,13593,1046
40942,13595,649
40944,13599,752
40946,13602,996
40948,13604,1123
40950,13607,969
40952,13613,324
40954,13616,41
40956,13617,1062
40958,13621,852
40960,13625,945
40962,13628,292
40964,13632,434
40966,13633,932
40968,13638,551
40970,13643,996
40972,13645,1063
40974,13648,351
40976,13650,1402
40978,13662,951
40980,13665,952
40982,13666,865
40984,13668,424
40986,13669,1195
40988,13674,35
40990,13675,258
40992,13679,982
40994,13682,1045
40996,13685,408
40998,13690,307
41000,13692,1035
41002,13693,30
41004,13696,30
41006,13698,190
41008,13700,190
41010,13704,969
41012,13705,31
41014,13707,1031
41016,13709,31
41018,13712,389
41020,13717,726
41022,13719,378
41024,13721,307
41026,13729,1030
41028,13731,1004
41030,13733,915
41032,13739,1398
41034,13742,472
41036,13747,874
41038,13750,1027
41040,13752,1035
41042,13754,869
41044,13756,843
41046,13758,1397
41048,13762,6
41050,13764,909
41052,13766,995
41054,13770,464
41056,13774,1044
41058,13778,390
41060,13781,1400
41062,13784,1031
41064,13786,925
41066,13791,507
41068,13793,814
41070,13795,448
41072,13798,442
41074,13799,377
41076,13801,1126
41078,13803,1126
41080,13805,567
41082,13807,544
41084,13808,834
41086,13810,1009
41088,13812,1009
41090,13820,1034
41092,13822,551
41094,13827,514
41096,13828,1368
41098,13830,514
41100,13832,513
41102,13834,507
41104,13836,314
41106,13838,518
41108,13840,1001
41110,13845,1028
41112,13846,66
41114,13850,1116
41116,13852,511
41118,13853,973
41120,13856,42
41122,13857,1116
41124,13866,53
41126,13872,1079
41128,13873,1016
41130,13875,1098
41132,13877,1098
41134,13879,1016
41136,13882,1082
41138,13883,1010
41140,13884,557
41142,13887,1082
41144,13895,552
41146,13899,1033
41148,13901,33
41150,13904,58
41152,13906,1086
41154,13907,58
41156,13910,1086
41158,13913,972
41160,13916,481
41162,13918,880
41164,13919,994
41166,13921,555
41168,13922,282
41170,13926,1101
41172,13927,1101
41174,13933,1018
41176,13935,1018
41178,13937,450
41180,13939,450
41182,13941,1043
41184,13944,1070
41186,13946,1070
41188,13951,1031
41190,13956,1002
41192,13958,14
41194,13960,1099
41196,13962,448
41198,13963,1073
41200,13972,47
41202,13975,604
41204,13977,604
41206,13981,1041
41208,13982,1097
41210,14010,501
41212,14014,501
41214,14026,61
41216,14029,1072
41218,14030,393
41220,14032,393
41222,14036,898
41224,14041,61
41226,14043,50
41228,14045,984
41230,14047,1144
41232,14050,991
41234,14054,588
41236,14056,588
41238,14064,1121
41240,14065,325
41242,14066,68
41244,14087,1054
41246,14089,414
41248,14091,1078
41250,14093,429
41252,14097,51
41254,14113,1394
41256,14123,1066
41258,14132,1056
41260,14133,1066
49370,23946,1031
41264,14148,675
41266,14153,458
41268,14169,1117
41270,14171,568
41272,14177,608
41274,14184,429
41276,14185,978
41278,14186,461
41280,14193,54
41282,14197,568
41284,14201,40
41286,14203,1032
41288,14211,1055
41290,14219,507
41292,14220,677
41294,14225,1120
41296,14233,611
41298,14237,1121
41300,14238,1117
41302,14246,227
41304,14248,1135
41306,14251,1190
41308,14254,631
41310,14255,1190
41312,14256,1090
41314,14259,1164
41316,14262,74
41318,14264,883
41320,14268,899
41322,14271,394
41324,14272,621
41326,14277,48
41328,14279,572
41330,14282,1109
41332,14287,625
41334,14289,625
41336,14300,1140
41338,14304,384
41340,14308,671
41342,14309,384
41344,14311,1171
41346,14314,69
41348,14316,976
41350,14319,102
41352,14320,1188
41354,14321,91
41356,14324,94
41358,14327,913
41360,14329,1155
41362,14330,1213
41364,14332,644
41366,14337,1169
41368,14339,1169
41370,14340,634
41372,14344,1119
41374,14345,1170
41376,14350,539
41378,14353,1148
41380,14354,1148
41382,14357,1407
41384,14359,913
41386,14363,579
41388,14364,579
41390,14366,1187
41392,14368,84
41394,14371,656
41396,14376,1131
